,jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,zkey,capers_flag,zxor,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,Fnu,Flam,References,comment,z_aspect_flux_sum,z_aspect_pixel_count,z_aspect_flag,failed_opening
0,j001358.80m302137.84,1,24757,3.494992,-30.360512,abell2744-castellano1-v3_prism-clear_3073_13963.spec.fits,abell2744-castellano1-v3,13963,0,NaN,1,1.6522,1.6522,NaN,NaN,NaN,0,-0.18,0.6,5.29,NaN,1.5,2.2,39.99,40.29,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
1,j001358.49m302136.60,1,24759,3.493713,-30.360167,abell2744-castellano1-v3_prism-clear_3073_14033.spec.fits,abell2744-castellano1-v3,14033,0,NaN,2,8.3099,8.3099,NaN,NaN,NaN,0,0.22,0.6,5.29,1.2,NaN,-0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
2,j001359.37m302133.43,1,24761,3.497377,-30.359286,abell2744-castellano1-v3_prism-clear_3073_14182.spec.fits,abell2744-castellano1-v3,14182,0,NaN,1,0.5558,0.5558,NaN,NaN,NaN,0,0.37,0.6,5.29,NaN,1.4,2.9,39.03,39.37,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
3,j001403.25m302131.92,1,24764,3.513548,-30.358868,abell2744-castellano1-v3_prism-clear_3073_14311.spec.fits,abell2744-castellano1-v3,14311,0,NaN,3,3.2236,3.2236,NaN,NaN,NaN,0,1.13,0.6,5.29,NaN,7.3,4.4,40.71,40.79,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
4,j001401.66m302128.43,1,24767,3.506926,-30.357897,abell2744-castellano1-v3_prism-clear_3073_14484.spec.fits,abell2744-castellano1-v3,14484,0,NaN,1,1.5566,1.5566,NaN,NaN,NaN,0,0.76,0.6,5.29,NaN,1.6,1.6,40.09,40.19,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
5,j001358.60m302128.68,1,24768,3.494172,-30.357968,abell2744-castellano1-v3_prism-clear_3073_14495.spec.fits,abell2744-castellano1-v3,14495,0,NaN,1,2.0581,2.0581,NaN,NaN,NaN,0,0.08,0.6,5.29,NaN,3.6,5.4,40.63,41.01,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,1.0,False
6,j001357.49m302125.89,1,24769,3.489535,-30.357192,abell2744-castellano1-v3_prism-clear_3073_14656.spec.fits,abell2744-castellano1-v3,14656,0,NaN,1,1.7196,1.7196,NaN,NaN,NaN,0,2.25,0.6,4.19,NaN,0.4,-0.5,39.42,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
7,j001359.21m302124.93,1,24770,3.496699,-30.356926,abell2744-castellano1-v3_prism-clear_3073_14751.spec.fits,abell2744-castellano1-v3,14751,0,NaN,1,2.5554,2.5554,NaN,NaN,NaN,0,0.43,0.6,5.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
8,j001359.18m302122.83,1,24771,3.496563,-30.356341,abell2744-castellano1-v3_prism-clear_3073_14842.spec.fits,abell2744-castellano1-v3,14842,0,NaN,3,6.4185,6.4185,NaN,NaN,NaN,0,1.05,0.6,5.29,-2.0,18.3,34.9,42.11,42.48,NaN,NaN,NaN,NaN,NaN,-,NaN,6.41,6.44,3.0,False
9,j001401.39m302122.32,1,24772,3.505796,-30.356201,abell2744-castellano1-v3_prism-clear_3073_14929.spec.fits,abell2744-castellano1-v3,14929,0,NaN,1,6.1426,6.1426,NaN,NaN,NaN,0,0.02,0.6,5.29,-0.2,1.1,3.4,40.78,41.22,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
